,Unnamed: 0,address,Total Score,UST_DEPOSITED
69,8361,terra10d947wn4z7wynznqr040m4nwhng70x8k8xpnn7,8,8.0
70,8365,terra10d98pj46s47mkqyvmfqx3yfzarxv9p3vlh83zu,9,8.0
71,8404,terra10daty845flyvzl29uvsh4pwcnc4ff99fj77q55,30,3200.0
72,8407,terra10dawxjdvl5v36fzn84t9p4gh7u7ly5vmqwxdkh,26,850.0
73,8497,terra10df60ysnfmsvu4ea0esyc2p38y5auf5zsjgk44,3,27.41
74,8790,terra10duczj5h32m363ar7slt7tdhc0u0tsu9xr5hnf,30,449.0
75,8888,terra10dyrjurndzhp50n7qsg7s4ftk5wja23ppl56n3,2,209.0
76,8926,terra10e0lnartjgxlmuldpg5c02jlumpdjglwhjldnp,8,10.0
77,9372,terra10elu6pj2umvfnc8pe309umrtql3p4ggvz6kdta,2,313.0
78,9432,terra10epul476m7wufraudp0rpxrfsy5kc9mzqanyt3,24,611.0
79,9522,terra10etnul23edrmvl2r9mgshzjsyl03dad9u4xkcm,6,8.0
80,9646,terra10eyxd6p98dtlryzuplmj44d59mc05usuy8ya9v,30,152.0
81,9648,terra10eyyzfp6r62fxelzgf25k2sev6ykr2se3gt65x,13,28.9
82,9699,terra10f0rvrpqy08vl0e76yjujahtpmz3wqutsh5n7d,7,678.0
83,9896,terra10facy7vmjc64uf5gqfvxzwgj5knvylw5k9uv7g,30,167.0
84,9978,terra10feh3nsr7kvv9upn9mqzkupr2e82j9zy80lsxc,1,20.0
85,10040,terra10fh4yugfcssjn0u9q75xvzun0uxa7a2a8n942p,19,197.0
86,10381,terra10fyrywt75ps3wj0ssdxm8sgm6tgkgtylm9sv26,23,112.0
87,10705,terra10gf2ya25ens0ka3v6wgq0epmxeykv8mrccueda,18,8.0
88,10788,terra10gjxd65n99n8jf7jy2fk28c2g3rxfddu2lr0rt,4,96.0
89,10957,terra10gsnxrjs3ylaf9mvf408nx8spuhrjamuq5g47u,1,203.06
90,11207,terra10h4cm2yqwx0vle295n9zr4jkr2cvxva93ku7p6,10,9.0
91,11274,terra10h6q6unjxngdxx6tadtwhzstvax80v6lxelyvf,15,16.0
92,11473,terra10hflg36senj6dcv9gxajtyfj7ku99mrc6azcs3,10,16.0
93,11593,terra10hm3cvculpr227e79f3tz9upxc77l78fshzfq2,2,161.66
94,11634,terra10hnwentn5jv2ckgxzvn3ujflyu63ky7j2ax8h0,24,215.0
95,11698,terra10hryzctz898clsrm802kknyj4l6kayuaelr0lu,27,226.0
96,11858,terra10hyqtxhl42ezqj07y9ymsvd0shf90766007fqz,21,379.0
97,11931,terra10j2ymt4pdpqslfw4ssgnamm6dmnjcmwg790k3f,13,8.0
98,11990,terra10j65tl4tcftq98w6c9zs8eksgel2tu87vslld4,29,1600.0
99,12079,terra10ja5cguysvsyza9zdd5zsvlwx0dwe9yr9le356,24,347.0
100,12084,terra10jaevevsrq9avy9xykwj0texyn63x7fw9z73kq,1,175.0
101,12331,terra10jn9jng7lah478zrw24wqkwv8xsm78268tdcj9,7,8.0
102,12462,terra10jtpd5xg2p5nllncdt5zrj4m4rqpndtgtmg5m2,4,40.0
103,12609,terra10jzuadndq8lujezn4jz59scjql5tjychzv4a9q,15,32.5
104,12646,terra10k29sv63uyhlcgyvetqnava8r9mx7847f83z6w,25,270.0
105,12918,terra10kelc3zsx508pwvesjz5hngsjz4q034hm3v8fg,2,1417.4199999999998
106,13012,terra10kjtfk97jg0eue3z9mafquffe5q4ty8q7m9wdd,21,60.0
107,13079,terra10kmr23va9jn4zw8tkqfal7w6ng8wkgvwk3crpq,25,205.0
108,13109,terra10kp5m8k98u7jza8959dz9eak4yukc5gphudxf3,21,125.0
109,13275,terra10kv5d40ftd5x5h23dhkw0yg4qy2zs7xgd69ky7,17,50.0
110,13299,terra10kwedtssggnhmdpm84wcdy794k0nhuaq53drwq,19,28.0
111,13317,terra10kwwrcvzwwut0lstwd48nkxg5674dz9u4m2n2v,27,71.0
112,13373,terra10kz6jgnx2qzamemwezd8lz7c4z0et5mdhg8t0l,14,8.0
113,13432,terra10l2zzuey3qkczptu3juxuwwlrznplws25zhsnh,23,8.0
114,13568,terra10l8q789xp87gqaqh9nmllzkfey6h0a5lke6nkg,4,45.0
115,13590,terra10l9g9kvnhrmc4nyn8apel0d4esa24fchfnquw9,24,9.0
116,13619,terra10latqlq6x2925tl22r0lfxjt5pjg0zuvndqnas,27,230.0
117,13737,terra10lhfa67py8f75znkac0wqwk4rlwhehrfw3jl27,18,8.0
118,13839,terra10lmwpjjvxdqh7jtzt989ucp7skhe9javkjawvx,2,87.06
119,13871,terra10lp5v7sqqfvyaq6ulccuz3y6fmt934tujq0kx4,7,88.0
120,14050,terra10lwmun98vpv9fuup2jnjvwp70a9778ra8tqjpm,26,571.0
121,14181,terra10m29s0xf5vjl8szqr0aj8q6zac3celulq2smrc,10,98.0
122,14436,terra10me0c8vuk49vvhc6fz5k97nypemwal8cey207u,19,16.0
123,14507,terra10mgvscqnswz6zu8aex6jra2mf0el73ng7p2d72,27,48.0
124,14539,terra10mjksgah6lpeh32re4wkyp8znvw6ldr8g8tzvg,10,90.0
125,14633,terra10mnt62tmjcl0fej2q0863jg6hvvqfrhu6alsl5,7,208.0
126,14717,terra10mrssn6p7s09uvcp7vz4zl8nfs76au03dsk4xx,7,16.0
127,14852,terra10my55ndyhpr7ww4r7hh4wyepdpzlxck7tj63m8,29,11066.0
128,15036,terra10n6qsqvsd280enhpjan9h0xj86992yhhndv26p,30,76.0
129,15366,terra10nnk4xsezjt5gne9wv8cnxryne369pvdlzdqhy,2,126.97
130,15498,terra10nu2a4qvy045jj4gy2tn2z49pnt3vw0qw8tats,29,790.0
131,15550,terra10nwer94e5mqx6zqjhgpuk00r63q9cyc45e4x09,21,56.0
132,15776,terra10p7drrhhnuwt2nhux700sn0n6mcm37dfeua227,27,30.0
133,16068,terra10plc3x8ass5734thwzlq6rwtks3p7fqvd9d74y,20,170.0
134,16126,terra10ppp65gh2m9eujsgl0648w3p5dk7n9cvv8arha,23,3833.0
135,16192,terra10ptds0a9kd0ktdy6xed60gemkrgyrj6ryzn2kw,6,8.0
136,16280,terra10pwxm82pcpu7lcg90nmwfl5tss0xylkpqctq4g,4,143.0
137,16306,terra10py7vtk48a78mpdgdaaj3get9pnd350redxkjs,27,8.0
138,16390,terra10q2fh36m6jw4hdzx5eszhmz2w8543hax2hsv63,12,160.0
139,16609,terra10qd8u99gu6azz9fa9zxdr7v4g05ad3x89jhef5,10,28.0
140,16617,terra10qddr083vf36xr9fwusdkhetpsu3zqgy8smqk8,21,32.0
141,16625,terra10qdrhguh8r23se8c96mp5wnd48vv58esnj6m24,19,319.0
142,16646,terra10qeqkwy4k6gv58g9f2dnh7azd6x2r3neekdel2,2,28.0
143,16770,terra10qkmmjltd02ctaumxnnzvkwh7zwk2zzeejuzjv,2,27.0
144,17020,terra10qwm80ccf0kqtzp4tu9queu3uprkx5m2pwfvfk,27,1050.0
145,17090,terra10qzrhxqqlpjc9sywwteesfp5yzq4sn88ymny49,2,95.0
146,17146,terra10r2zpcpmfesjmwpuwej5c5gpypljl793cjg5hh,7,88.0
147,17287,terra10ra36fek8r0n58pqcz40a4smyjzv4n30vva4d9,10,192.0
148,17425,terra10rgw0n4s6g6ctldxx065tm0x5x3s8r0320hycr,5,3340.0
149,17508,terra10rlu2jcjlupnatpqyy2p65wwagy9k5ye5wt3ts,2,134.0
150,17742,terra10rx277cpllkv90m0x5qalvchf47w4pl2delwvt,16,34.0
151,17876,terra10s3tl7zvg0s4g9u6rx06a76hjgqx7mzjhxtf7d,26,65.0
152,17925,terra10s5qfpjjyv5wmkuukns0hns39ak04wdc957wph,6,71.0
153,18000,terra10s8fjrez52vf20xvf4q8wtjecgandc0zt9kung,3,29.0
154,18070,terra10scpaz33l0ep7fhp0h93sqgkdfhek4hexyfcf0,8,206.0
155,18297,terra10sp9lnt5sc8xc5m30xl8ku8nkajvpc4e4gap6u,27,400.0
156,18333,terra10sql3r3f9vqrxekpfmldpau084sdzfnf9l07c8,30,3031.0
157,18388,terra10st0fptumtt3mkurjddp4qq4624gf3g44sghns,26,35.0
158,18680,terra10t6v7paqejrytv9j77whrgd2ja0pdqg3gw4eqn,14,18.0
159,18936,terra10tkffcjmjz7u0fg824hyjegp8yztl5m3zu8dv6,20,8.0
160,19155,terra10tv6kn75xt063k8vy37vm7qeud6p70sgq5tcxq,30,652.33
161,19216,terra10txtzyueqyyj7pdywaz9dvzm68zwe3sf8tet3f,10,128.0
162,19252,terra10tzrdupldrs77xsd3fj8k0cspavhkcp2y2thrs,18,40.0
163,19697,terra10umapn3m2h0qfh3v4u0p4ywyrrpz42hqm60dyz,22,18.0
164,19992,terra10v0x0wylpy0z0q4vr0vydhhd32s7a0k29tlyaf,2,88.0
165,20150,terra10v97g9huujp6twm5dvf35xqnd96c7u9aljz28c,4,138.0
166,20158,terra10v9pf3fyvq546g97399c6z4eslsqs6ucckw5m2,25,34.31
167,20350,terra10vjqtstmeyu74r4eumrh74mdu0cc332xcjtz30,9,869.0
168,20388,terra10vlp0zxuxg7vdgdhuy0jxufdgacqj6yp4ph7pf,24,1251.0
169,20391,terra10vlr3gm9a7fyyq4y58m490yrdyljmuyz49ahaz,12,9.0
170,20708,terra10vzjv3nja440sz9vw2pmd253ygyyxu6ct0f94f,30,8.0
171,20784,terra10w49w9uysms7jm32w4jvxxklwrn29vm6f2kg8m,14,10.0
172,20851,terra10w6yczfxclpepknp3k6t2ga633h9vhrphwrtlw,24,10.0
173,20872,terra10w7txzypvys0npq2a72zgvna252krtyhpqazkx,24,10.0
174,21013,terra10wg6wcjarlv6fldxle6wgm295t67d3lhvvgj8w,25,48.0
175,21129,terra10wlt9lr78ms0k3vulzxx03nyk3998xnkj7jp5k,7,10380.0
176,21308,terra10wudkjzj2y2p09cc08v3tqg3qz60q9swzgu4gv,29,366.0
177,21529,terra10x4td3qm42yxtfr8l805a34qdrw2s049rfkmax,27,100.0
178,21536,terra10x53ytg2lwuee59d4mg3klmprcl40jg0h78a2c,11,233.0
179,21589,terra10x7f8a9n4a6cdcpwh76kcruj4k09qsk4n0hl5p,2,322.0
180,21772,terra10xg7h5n9gtzkdj5sr8l54ppatmkccv7444n2x3,5,101.0
181,21826,terra10xj7yy9u9yzw2n7drtrg97ek9wwumu8ejdxa9n,11,55.0
182,21831,terra10xjcdg4qn4628v6agzghey7anqrlkenk2l8wx9,2,8.0
183,21908,terra10xmxyeez0rv4754d2lchxmwkwls8umt9cg45ct,27,454.2
184,21920,terra10xnfkcs76qgm6uz94u0c9emmlyq4adsz6vpdu7,24,1500.0
185,21960,terra10xq5xljradwng48vhpmzuefscgz8plrrn33g75,10,171.0
186,21992,terra10xr6rjrrw7p2njttwyshrhd3dkguw4uh9ue74l,14,892.65
187,22111,terra10xwk4mc5fhkn6jmucrlgwqjk24zhxq7s8kxege,23,40.0
188,22251,terra10y46fvje309fs3drjln3hw6t5q9zg3zygspkud,1,8.0
189,22420,terra10yczfahyqphs6xvs7fw0nukz92jfw80tf7la8w,22,2523.0
190,22510,terra10ygw77yx856zcqwpzzjrz5jtwqmpgeq3j53ywl,12,8.0
191,22524,terra10yhe0gxaq97ccqmgteggfqr9cl3dgckjjg6n5y,30,751.05
192,22574,terra10ykawa49nr9rnpncce082jtpfes6z2dzgln9hs,4,16.0
193,22597,terra10yl966eg937w2h7xzpg9sx8alwempd42803dhj,7,382.0
194,22664,terra10yp2gh2z7hpnm45eq4ny4n0yl82juht75nhc9w,19,8.0
195,22774,terra10yu3a94zumcfcudsff56xryyt40sgdav7cxjqu,9,36.0
196,22846,terra10yxan7x3ug0cd8qaev849edm4ajy9zfe0pm3xa,22,200.0
197,23143,terra10zc2vzwr7teu7rw49w4k49chajpx6g0w3gh8cq,27,1456.47
198,23189,terra10zdhgllxgd4urfcc4rakprm2ncwywy453pj9u5,27,2743.0
199,23336,terra10zk3ce4s0mrykzgjn6lgyta98x8deqf2t78rjx,4,18.0
200,23408,terra10zmyauffrsp07fq2luz4cm3ykl4yh3r28s58fd,4,20.0
201,23501,terra10zs24g9g5y42ulh0nxmsvlszqam57p554tywky,1,10.0
202,23525,terra10zt8j3l2p9dy24kdn8ctlupz9c0l0gtwar7nuv,24,165.0
